587, 225
288, 410
1148, 668
799, 694
1274, 538
427, 613
192, 33
945, 168
1078, 350
1270, 521
793, 359
1130, 136
516, 428
869, 392
610, 30
1236, 334
93, 708
495, 594
939, 187
1267, 446
498, 543
567, 187
62, 235
307, 19
441, 368
1120, 647
796, 489
214, 38
297, 464
219, 42
771, 104
739, 471
911, 163
923, 428
66, 697
608, 464
1155, 367
964, 367
1232, 162
1208, 450
374, 506
1117, 365
320, 608
1076, 181
1261, 514
518, 294
71, 395
946, 155
1229, 176
654, 622
1179, 584
1170, 66
714, 252
462, 104
443, 396
101, 583
874, 572
54, 595
848, 1
292, 585
250, 250
