57, 472
803, 622
147, 315
298, 124
706, 302
30, 930
763, 82
694, 195
108, 540
700, 109
720, 634
465, 209
675, 583
576, 889
431, 362
35, 256
421, 170
212, 781
498, 648
679, 247
763, 755
328, 387
995, 633
375, 743
426, 768
928, 800
964, 656
219, 212
161, 98
23, 118
470, 642
891, 787
751, 509
571, 391
293, 332
987, 90
344, 804
437, 334
288, 754
421, 483
944, 896
146, 435
405, 701
596, 470
747, 442
456, 161
777, 826
11, 424
419, 855
334, 206
316, 234
28, 328
126, 642
806, 114
621, 679
256, 60
627, 666
304, 631
138, 264
36, 562
797, 600
120, 493
600, 800
923, 685
590, 400
498, 927
160, 339
86, 774
364, 491
945, 454
318, 7
622, 564
858, 56
450, 989
233, 610
86, 217
373, 893
387, 124
211, 839
344, 474
356, 431
386, 958
647, 720
654, 14
28, 977
596, 955
223, 675
167, 541
695, 135
646, 678
839, 418
